时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-11-01 00:00:00,国控,上海,,93,良,二级,69,58,72,79,1.581,1.301,66,74,8,69,8,35,21,14,0
2014-11-01 00:00:00,国控,上海,普陀,98,良,,73,59,0,89,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 00:00:00,国控,上海,十五厂,97,良,,72,53,0,73,1.406,1.301,68,76,8,64,7,40,10,10,0
2014-11-01 00:00:00,国控,上海,虹口,94,良,,70,68,0,96,1.63,1.602,65,77,4,63,4,25,23,16,0
2014-11-01 00:00:00,国控,上海,徐汇上师大,112,轻度污染,,84,58,0,78,1.474,1.207,71,75,10,83,12,54,23,10,0
2014-11-01 00:00:00,国控,上海,杨浦四漂,99,良,,74,64,0,82,1.417,1.292,70,83,8,66,8,31,0,14,0
2014-11-01 00:00:00,国控,上海,青浦淀山湖,55,良,,39,69,0,80,1.531,1.408,59,68,12,65,9,38,15,19,0
2014-11-01 00:00:00,国控,上海,静安监测站,103,轻度污染,,77,61,0,100,1.487,1.363,68,72,11,109,11,44,27,19,0
2014-11-01 00:00:00,国控,上海,浦东川沙,107,轻度污染,,80,53,80,56,2.681,1.319,63,67,2,57,3,28,37,15,0
2014-11-01 00:00:00,国控,上海,浦东新区监测站,84,良,,62,49,65,64,1.181,1.064,67,79,15,48,15,24,17,13,0
2014-11-01 00:00:00,国控,上海,浦东张江,85,良,,63,48,0,73,1.426,1.151,65,77,4,72,4,36,19,13,0
2014-11-01 01:00:00,国控,上海,,97,良,二级,72,58,74,79,1.481,1.308,60,74,11,69,8,35,27,14,0
2014-11-01 01:00:00,国控,上海,普陀,98,良,,73,58,0,86,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 01:00:00,国控,上海,十五厂,102,轻度污染,,76,53,0,76,1.827,1.324,56,75,16,64,8,40,21,10,0
2014-11-01 01:00:00,国控,上海,虹口,100,良,,75,67,0,95,1.641,1.599,61,75,5,63,4,25,26,17,0
2014-11-01 01:00:00,国控,上海,徐汇上师大,105,轻度污染,,79,57,0,77,1.3,1.206,62,74,13,83,11,54,33,11,0
2014-11-01 01:00:00,国控,上海,杨浦四漂,107,轻度污染,,80,64,0,84,1.429,1.303,60,81,17,66,9,31,55,16,0
2014-11-01 01:00:00,国控,上海,青浦淀山湖,72,良,,52,68,0,84,1.474,1.374,55,68,16,65,10,38,16,14,0
2014-11-01 01:00:00,国控,上海,静安监测站,110,轻度污染,,83,61,0,102,1.406,1.373,62,71,11,109,11,44,27,17,0
2014-11-01 01:00:00,国控,上海,浦东川沙,109,轻度污染,,82,54,0,56,1.78,1.352,57,67,2,57,2,28,25,16,0
2014-11-01 01:00:00,国控,上海,浦东新区监测站,82,良,,60,50,74,64,1.141,1.071,66,79,16,48,15,24,21,14,0
2014-11-01 01:00:00,国控,上海,浦东张江,85,良,,63,48,0,75,1.33,1.168,64,76,4,72,3,36,24,14,0
2014-11-01 02:00:00,国控,上海,,93,良,二级,69,58,58,79,1.401,1.305,51,73,25,64,10,35,19,14,0
2014-11-01 02:00:00,国控,上海,普陀,90,良,,67,58,0,83,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 02:00:00,国控,上海,十五厂,102,轻度污染,,76,54,0,77,1.228,1.32,53,74,45,64,13,40,10,10,0
2014-11-01 02:00:00,国控,上海,虹口,92,良,,68,66,0,92,1.389,1.588,42,73,22,63,7,25,20,17,0
2014-11-01 02:00:00,国控,上海,徐汇上师大,103,轻度污染,,77,56,0,74,1.66,1.219,54,73,42,83,15,54,19,11,0
2014-11-01 02:00:00,国控,上海,杨浦四漂,105,轻度污染,,79,65,0,86,1.982,1.348,49,80,61,66,16,31,20,16,0
2014-11-01 02:00:00,国控,上海,青浦淀山湖,79,良,,58,67,58,85,1.321,1.29,48,68,18,65,11,38,18,15,0
2014-11-01 02:00:00,国控,上海,静安监测站,97,良,,72,61,0,102,1.226,1.343,52,71,18,64,12,44,23,18,0
2014-11-01 02:00:00,国控,上海,浦东川沙,94,良,,70,54,0,56,1.441,1.376,54,67,2,57,2,28,20,16,0
2014-11-01 02:00:00,国控,上海,浦东新区监测站,88,良,,65,51,0,64,1.056,1.078,53,77,15,48,15,24,19,14,0
2014-11-01 02:00:00,国控,上海,浦东张江,90,良,,67,49,0,74,1.31,1.187,57,75,9,72,4,36,23,15,0
2014-11-01 03:00:00,国控,上海,,96,良,二级,71,57,67,79,1.209,1.309,41,71,22,64,12,35,19,15,0
2014-11-01 03:00:00,国控,上海,普陀,98,良,,73,57,76,85,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 03:00:00,国控,上海,十五厂,102,轻度污染,,76,54,0,75,1.164,1.32,41,72,27,64,16,40,10,10,0
2014-11-01 03:00:00,国控,上海,虹口,94,良,,70,65,0,95,1.387,1.589,40,72,18,63,8,25,23,18,0
2014-11-01 03:00:00,国控,上海,徐汇上师大,107,轻度污染,,80,56,0,74,1.312,1.222,59,71,16,83,15,54,23,12,0
2014-11-01 03:00:00,国控,上海,杨浦四漂,105,轻度污染,,79,65,0,85,1.197,1.349,40,78,31,66,19,31,19,17,0
2014-11-01 03:00:00,国控,上海,青浦淀山湖,75,良,,55,66,58,80,1.315,1.308,42,67,22,65,13,38,15,15,0
2014-11-01 03:00:00,国控,上海,静安监测站,99,良,,74,60,0,103,1.218,1.343,52,69,19,64,13,44,23,18,0
2014-11-01 03:00:00,国控,上海,浦东川沙,95,良,,71,55,0,55,1.31,1.394,36,66,19,57,4,28,19,17,0
2014-11-01 03:00:00,国控,上海,浦东新区监测站,90,良,,67,51,0,64,0.874,1.073,33,75,16,48,15,24,19,14,0
2014-11-01 03:00:00,国控,上海,浦东张江,90,良,,67,50,0,74,1.103,1.183,33,73,31,72,8,36,22,15,0
2014-11-01 04:00:00,国控,上海,,96,良,二级,71,57,68,79,1.24,1.319,46,70,17,64,13,35,20,15,0
2014-11-01 04:00:00,国控,上海,普陀,107,轻度污染,,80,57,82,85,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 04:00:00,国控,上海,十五厂,99,良,,74,54,0,76,1.183,1.327,49,71,17,64,17,40,10,10,0
2014-11-01 04:00:00,国控,上海,虹口,97,良,,72,64,0,95,1.385,1.59,48,71,9,63,9,25,23,18,0
2014-11-01 04:00:00,国控,上海,徐汇上师大,103,轻度污染,,77,56,0,77,1.266,1.228,60,71,14,83,16,54,24,12,0
2014-11-01 04:00:00,国控,上海,杨浦四漂,104,轻度污染,,78,65,0,87,1.214,1.364,46,76,22,66,21,31,23,17,0
2014-11-01 04:00:00,国控,上海,青浦淀山湖,82,良,,60,65,61,78,1.485,1.333,49,67,17,65,14,38,15,15,0
2014-11-01 04:00:00,国控,上海,静安监测站,107,轻度污染,,80,60,0,106,1.265,1.352,57,69,13,64,13,44,25,19,0
2014-11-01 04:00:00,国控,上海,浦东川沙,82,良,,60,55,61,56,1.414,1.416,33,65,20,57,6,28,20,17,0
2014-11-01 04:00:00,国控,上海,浦东新区监测站,94,良,,70,52,0,63,0.869,1.072,39,73,16,48,15,24,19,15,0
2014-11-01 04:00:00,国控,上海,浦东张江,90,良,,67,50,0,75,1.082,1.191,33,71,29,72,11,36,22,16,0
2014-11-01 05:00:00,国控,上海,,97,良,二级,72,58,0,79,1.211,1.334,47,69,17,64,14,35,19,15,0
2014-11-01 05:00:00,国控,上海,普陀,105,轻度污染,,79,57,0,84,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 05:00:00,国控,上海,十五厂,102,轻度污染,,76,55,0,76,1.156,1.339,50,69,17,64,18,40,10,10,0
2014-11-01 05:00:00,国控,上海,虹口,100,良,,75,64,0,92,1.38,1.595,48,69,11,63,10,25,23,19,0
2014-11-01 05:00:00,国控,上海,徐汇上师大,108,轻度污染,,81,56,0,77,1.142,1.238,53,69,22,83,17,54,19,13,0
2014-11-01 05:00:00,国控,上海,杨浦四漂,105,轻度污染,,79,66,0,85,1.169,1.378,49,75,21,66,22,31,21,18,0
2014-11-01 05:00:00,国控,上海,青浦淀山湖,88,良,,65,65,0,76,1.475,1.359,46,66,15,65,15,38,14,15,0
2014-11-01 05:00:00,国控,上海,静安监测站,110,轻度污染,,83,61,0,106,1.193,1.365,53,68,16,64,14,44,23,19,0
2014-11-01 05:00:00,国控,上海,浦东川沙,85,良,,63,55,0,56,1.42,1.442,37,64,13,57,8,28,23,18,0
2014-11-01 05:00:00,国控,上海,浦东新区监测站,90,良,,67,52,0,63,0.889,1.081,48,72,16,48,16,24,19,15,0
2014-11-01 05:00:00,国控,上海,浦东张江,83,良,,61,51,0,75,1.079,1.205,42,70,22,72,13,36,21,16,0
2014-11-01 06:00:00,国控,上海,,96,良,二级,71,59,68,79,1.186,1.345,48,68,13,64,15,35,19,16,0
2014-11-01 06:00:00,国控,上海,普陀,104,轻度污染,,78,59,79,84,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 06:00:00,国控,上海,十五厂,107,轻度污染,,80,57,0,77,1.144,1.351,48,68,14,64,19,40,10,10,0
2014-11-01 06:00:00,国控,上海,虹口,95,良,,71,64,0,95,1.38,1.6,53,69,6,63,10,25,24,19,0
2014-11-01 06:00:00,国控,上海,徐汇上师大,104,轻度污染,,78,58,0,78,1.144,1.245,54,68,16,83,18,54,19,14,0
2014-11-01 06:00:00,国控,上海,杨浦四漂,103,轻度污染,,77,67,0,86,1.199,1.39,56,74,14,66,23,31,23,19,0
2014-11-01 06:00:00,国控,上海,青浦淀山湖,82,良,,60,65,60,75,1.408,1.38,45,66,13,65,15,38,14,16,0
2014-11-01 06:00:00,国控,上海,静安监测站,109,轻度污染,,82,62,0,106,1.138,1.377,50,67,15,64,14,44,23,20,0
2014-11-01 06:00:00,国控,上海,浦东川沙,88,良,,65,56,0,56,1.299,1.463,40,63,13,57,9,28,20,19,0
2014-11-01 06:00:00,国控,上海,浦东新区监测站,88,良,,65,54,65,64,0.865,1.085,48,71,16,48,16,24,21,16,0
2014-11-01 06:00:00,国控,上海,浦东张江,85,良,,63,52,0,76,1.093,1.217,46,69,16,72,15,36,22,17,0
2014-11-01 07:00:00,国控,上海,,104,轻度污染,三级,77,60,82,81,1.263,1.356,50,67,10,64,15,35,21,17,0
2014-11-01 07:00:00,国控,上海,普陀,104,轻度污染,,78,60,79,84,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 07:00:00,国控,上海,十五厂,105,轻度污染,,79,59,0,78,1.185,1.361,47,67,9,64,19,40,10,10,0
2014-11-01 07:00:00,国控,上海,虹口,112,轻度污染,,84,65,87,99,1.448,1.604,51,68,7,63,10,25,23,20,0
2014-11-01 07:00:00,国控,上海,徐汇上师大,108,轻度污染,,81,59,0,79,1.288,1.259,56,68,11,83,18,54,21,14,0
2014-11-01 07:00:00,国控,上海,杨浦四漂,114,轻度污染,,86,69,0,89,1.258,1.4,57,73,10,66,23,31,23,20,0
2014-11-01 07:00:00,国控,上海,青浦淀山湖,90,良,,67,65,0,73,1.477,1.402,43,65,14,65,16,38,15,16,0
2014-11-01 07:00:00,国控,上海,静安监测站,112,轻度污染,,84,64,0,107,1.249,1.389,48,66,12,64,14,44,26,20,0
2014-11-01 07:00:00,国控,上海,浦东川沙,94,良,,70,58,0,58,1.369,1.476,46,63,5,57,10,28,22,19,0
2014-11-01 07:00:00,国控,上海,浦东新区监测站,102,轻度污染,,76,55,81,65,0.941,1.09,53,70,15,48,16,24,23,17,0
2014-11-01 07:00:00,国控,上海,浦东张江,95,良,,71,53,83,79,1.149,1.227,51,68,10,72,16,36,26,18,0
2014-11-01 08:00:00,国控,上海,,110,轻度污染,三级,82,62,86,82,1.306,1.364,47,66,12,64,16,35,22,17,0
2014-11-01 08:00:00,国控,上海,普陀,99,良,,74,61,82,84,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-11-01 08:00:00,国控,上海,十五厂,109,轻度污染,,82,61,0,78,1.265,1.372,45,66,11,64,20,40,11,10,0
2014-11-01 08:00:00,国控,上海,虹口,125,轻度污染,,95,66,0,98,1.569,1.613,48,67,8,63,11,25,25,20,0
2014-11-01 08:00:00,国控,上海,徐汇上师大,105,轻度污染,,79,61,0,79,1.327,1.276,52,66,13,83,18,54,27,15,0
2014-11-01 08:00:00,国控,上海,杨浦四漂,132,轻度污染,,100,71,0,92,1.304,1.4,53,72,12,66,24,31,23,20,0
2014-11-01 08:00:00,国控,上海,青浦淀山湖,85,良,,63,64,0,73,1.353,1.415,37,63,20,65,17,38,13,16,0
