时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-03-01 00:00:00,国控,天津,,207,重度污染,五级,156,60,216,88,2.652,1.472,56,35,7,47,15,41,64,33,0
2015-03-01 00:00:00,国控,天津,市监测中心,219,重度污染,,169,66,209,83,3.14,1.396,64,32,1,56,13,53,84,35,0
2015-03-01 00:00:00,国控,天津,机车车辆厂,225,重度污染,,175,70,199,96,1.841,1.23,45,32,15,51,16,42,84,47,0
2015-03-01 00:00:00,国控,天津,继电器厂,195,中度污染,,146,56,219,97,2.189,1.308,37,26,9,38,12,32,73,46,0
2015-03-01 00:00:00,国控,天津,南京路,236,重度污染,,186,74,214,96,3.254,1.699,55,41,15,54,16,45,68,46,0
2015-03-01 00:00:00,国控,天津,河东站,218,重度污染,,168,60,227,99,2.102,0.92,58,40,12,29,13,30,78,33,0
2015-03-01 00:00:00,国控,天津,河西站,218,重度污染,,168,64,226,92,4.14,2.453,68,40,5,51,13,45,99,29,0
2015-03-01 00:00:00,国控,天津,北辰科技园区,217,重度污染,,167,71,201,97,2.175,1.674,43,35,11,35,11,30,45,51,0
2015-03-01 00:00:00,国控,天津,天山路,182,中度污染,,137,61,196,86,2.52,1.425,56,42,6,37,15,33,27,30,0
2015-03-01 00:00:00,国控,天津,东丽中学,201,重度污染,,151,50,227,87,3.027,1.468,71,40,6,49,15,46,104,31,0
2015-03-01 00:00:00,国控,天津,泰丰工业园,189,中度污染,,142,52,219,75,2.087,1.263,67,39,3,48,13,39,65,24,0
2015-03-01 00:00:00,国控,天津,永明路,196,中度污染,,147,52,236,84,2.388,1.358,52,28,7,67,23,56,29,21,0
2015-03-01 00:00:00,国控,天津,空港物流加工区,212,重度污染,,162,59,243,86,3.249,1.368,71,43,8,57,16,51,91,39,0
2015-03-01 00:00:00,国控,天津,中新生态城,156,中度污染,,119,49,156,69,2.321,1.394,54,37,7,60,23,53,42,28,0
2015-03-01 00:00:00,国控,天津,团泊洼,206,重度污染,,156,61,259,93,2.696,1.65,46,23,6,37,14,30,7,12,0
2015-03-01 01:00:00,国控,天津,,184,中度污染,四级,138,65,246,96,1.762,1.505,37,36,25,47,13,41,54,35,0
2015-03-01 01:00:00,国控,天津,市监测中心,202,重度污染,,152,72,184,89,1.422,1.425,32,33,32,54,11,51,49,37,0
2015-03-01 01:00:00,国控,天津,机车车辆厂,173,中度污染,,131,74,252,104,0.944,1.242,28,33,35,51,15,42,39,47,0
2015-03-01 01:00:00,国控,天津,继电器厂,149,轻度污染,,108,60,248,105,1.25,1.33,20,26,30,38,11,32,42,47,0
2015-03-01 01:00:00,国控,天津,南京路,204,重度污染,,154,80,246,104,1.288,1.719,30,41,46,49,17,45,114,50,0
2015-03-01 01:00:00,国控,天津,河东站,159,中度污染,,121,65,247,107,0.888,0.937,36,40,26,29,13,29,68,35,0
2015-03-01 01:00:00,国控,天津,河西站,170,中度污染,,129,68,242,100,2.182,2.465,31,41,41,51,12,45,79,32,0
