时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-05-01 00:00:00,国控,上海,,58,良,二级,40,72,36,100,0.64,0.891,29,48,83,165,90,141,9,23,0
2015-05-01 00:00:00,国控,上海,普陀,65,良,,47,72,0,115,0.599,0.848,32,46,61,187,73,153,12,26,0
2015-05-01 00:00:00,国控,上海,十五厂,54,良,,38,71,0,119,1.4,1.156,42,55,83,157,88,134,11,20,0
2015-05-01 00:00:00,国控,上海,虹口,58,良,,41,75,46,105,0.519,0.87,23,51,90,145,88,139,10,27,0
2015-05-01 00:00:00,国控,上海,徐汇上师大,60,良,,43,70,0,97,0.452,0.707,33,53,70,168,72,139,7,21,0
2015-05-01 00:00:00,国控,上海,杨浦四漂,35,优,,19,61,35,89,0.49,0.859,22,51,112,176,110,152,5,16,0
2015-05-01 00:00:00,国控,上海,青浦淀山湖,109,轻度污染,,82,86,0,98,0.0,0.0,40,48,53,157,92,136,13,26,0
2015-05-01 00:00:00,国控,上海,静安监测站,64,良,,46,75,0,94,0.724,1.009,37,53,71,188,82,156,3,19,0
2015-05-01 00:00:00,国控,上海,浦东川沙,55,良,,39,80,0,104,0.457,0.76,27,45,93,159,103,131,1,20,0
2015-05-01 00:00:00,国控,上海,浦东新区监测站,36,优,,25,71,0,99,0.325,0.729,22,49,101,160,101,135,14,31,0
2015-05-01 00:00:00,国控,上海,浦东张江,32,优,,22,64,27,84,0.795,1.084,14,38,96,160,95,137,14,27,0
2015-05-01 01:00:00,国控,上海,,58,良,二级,40,71,32,101,0.63,0.886,25,47,81,165,85,141,8,22,0
2015-05-01 01:00:00,国控,上海,普陀,65,良,,47,71,0,118,0.736,0.85,29,45,62,187,64,153,11,25,0
2015-05-01 01:00:00,国控,上海,十五厂,58,良,,41,70,0,119,1.207,1.172,23,54,94,157,86,134,11,19,0
2015-05-01 01:00:00,国控,上海,虹口,54,良,,38,73,0,108,0.528,0.862,24,49,86,145,84,139,10,27,0
2015-05-01 01:00:00,国控,上海,徐汇上师大,62,良,,44,69,0,98,0.447,0.703,36,52,65,168,68,139,7,21,0
2015-05-01 01:00:00,国控,上海,杨浦四漂,32,优,,17,59,32,87,0.523,0.853,26,49,102,176,107,152,5,16,0
2015-05-01 01:00:00,国控,上海,青浦淀山湖,85,良,,63,85,0,100,0.0,0.0,29,47,50,157,79,136,12,25,0
2015-05-01 01:00:00,国控,上海,静安监测站,59,良,,42,74,0,95,0.705,1.0,28,51,82,188,77,156,2,19,0
2015-05-01 01:00:00,国控,上海,浦东川沙,68,良,,49,79,0,106,0.457,0.743,29,43,82,159,98,131,2,19,0
2015-05-01 01:00:00,国控,上海,浦东新区监测站,46,优,,32,70,0,101,0.315,0.724,20,48,100,160,98,135,13,31,0
2015-05-01 01:00:00,国控,上海,浦东张江,39,优,,27,63,33,81,0.755,1.071,10,36,95,160,93,137,14,27,0
2015-05-01 02:00:00,国控,上海,,60,良,二级,42,70,42,101,0.549,0.872,23,45,81,165,82,141,8,22,0
2015-05-01 02:00:00,国控,上海,普陀,62,良,,44,70,0,120,0.5,0.841,18,43,75,187,63,153,10,25,0
2015-05-01 02:00:00,国控,上海,十五厂,59,良,,42,69,0,123,0.789,1.138,29,53,87,157,84,134,11,18,0
2015-05-01 02:00:00,国控,上海,虹口,52,良,,36,72,46,106,0.536,0.853,26,48,77,145,81,139,9,26,0
2015-05-01 02:00:00,国控,上海,徐汇上师大,68,良,,49,68,0,99,0.44,0.689,27,50,72,168,65,139,8,20,0
2015-05-01 02:00:00,国控,上海,杨浦四漂,40,优,,28,58,38,86,0.509,0.848,29,48,92,176,103,152,5,16,0
2015-05-01 02:00:00,国控,上海,青浦淀山湖,89,良,,66,85,0,101,0.0,0.0,32,46,51,157,68,136,11,24,0
2015-05-01 02:00:00,国控,上海,静安监测站,57,良,,40,73,0,96,0.657,0.988,24,49,83,188,76,156,2,18,0
2015-05-01 02:00:00,国控,上海,浦东川沙,69,良,,50,78,0,107,0.447,0.716,21,40,103,159,97,131,3,18,0
2015-05-01 02:00:00,国控,上海,浦东新区监测站,54,良,,38,69,0,102,0.301,0.716,19,46,93,160,96,135,13,30,0
2015-05-01 02:00:00,国控,上海,浦东张江,45,优,,31,62,42,79,0.764,1.062,11,34,86,160,90,137,15,27,0
2015-05-01 03:00:00,国控,上海,,67,良,二级,48,69,40,102,0.52,0.858,18,43,86,165,82,141,8,21,0
2015-05-01 03:00:00,国控,上海,普陀,68,良,,49,69,0,120,0.507,0.823,15,41,71,187,64,153,11,25,0
2015-05-01 03:00:00,国控,上海,十五厂,80,良,,59,68,0,126,0.687,1.125,23,51,91,157,85,134,14,18,0
2015-05-01 03:00:00,国控,上海,虹口,68,良,,49,71,0,107,0.508,0.838,22,46,77,145,82,139,9,26,0
2015-05-01 03:00:00,国控,上海,徐汇上师大,72,良,,52,66,0,99,0.423,0.671,17,47,80,168,67,139,6,19,0
2015-05-01 03:00:00,国控,上海,杨浦四漂,45,优,,31,57,40,84,0.464,0.839,24,47,99,176,104,152,5,15,0
2015-05-01 03:00:00,国控,上海,青浦淀山湖,92,良,,68,84,0,102,0.0,0.0,29,44,48,157,57,136,10,23,0
2015-05-01 03:00:00,国控,上海,静安监测站,74,良,,54,72,0,96,0.642,0.972,20,47,82,188,77,156,3,17,0
2015-05-01 03:00:00,国控,上海,浦东川沙,64,良,,46,76,0,107,0.424,0.697,15,38,111,159,98,131,3,18,0
2015-05-01 03:00:00,国控,上海,浦东新区监测站,60,良,,43,68,0,102,0.277,0.704,13,44,103,160,98,135,13,29,0
