时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-04-11 15:00:00,国控,天津,,88,良,二级,65,67,87,139,2.05,2.233,54,83,56,70,32,63,50,60,0
2014-04-11 15:00:00,国控,天津,市监测中心,84,良,,62,66,72,164,2.35,2.664,55,93,41,54,20,45,57,64,0
2014-04-11 15:00:00,国控,天津,机车车辆厂,92,良,,68,71,81,145,2.499,2.583,41,86,73,73,38,62,36,62,0
2014-04-11 15:00:00,国控,天津,继电器厂,70,良,,51,77,52,142,1.611,2.046,43,92,81,82,43,67,41,60,0
2014-04-11 15:00:00,国控,天津,南京路,83,良,,61,60,91,161,2.575,2.673,49,91,61,70,35,59,54,70,0
2014-04-11 15:00:00,国控,天津,河东站,99,良,,74,79,0,136,1.836,2.135,42,83,61,69,31,62,57,69,0
2014-04-11 15:00:00,国控,天津,河西站,82,良,,60,67,0,137,1.781,2.865,62,89,41,46,26,44,62,85,0
2014-04-11 15:00:00,国控,天津,北辰科技园区,97,良,,72,71,80,172,1.932,1.782,57,122,56,57,28,51,55,70,0
2014-04-11 15:00:00,国控,天津,天山路,114,轻度污染,,86,71,0,134,2.275,2.351,56,72,65,68,34,62,50,74,0
2014-04-11 15:00:00,国控,天津,东丽中学,82,良,,60,71,79,148,2.143,2.211,54,93,64,67,35,68,44,70,0
2014-04-11 15:00:00,国控,天津,梅江小区,62,良,,1,43,74,163,2.268,2.552,62,94,46,52,28,52,44,73,0
2014-04-11 15:00:00,国控,天津,泰丰工业园,105,轻度污染,,79,54,0,98,2.286,1.667,67,64,31,65,19,56,32,19,0
2014-04-11 15:00:00,国控,天津,永明路,133,轻度污染,,101,93,110,123,1.774,1.8,60,59,42,83,28,75,52,36,0
2014-04-11 15:00:00,国控,天津,空港物流加工区,79,良,,58,60,0,108,1.73,1.789,54,90,75,81,47,74,41,61,0
2014-04-11 15:00:00,国控,天津,中新生态城,97,良,,72,51,144,124,1.289,2.519,61,65,55,91,42,83,68,42,0
2014-04-11 15:00:00,国控,天津,团泊洼,98,良,,73,76,92,130,2.394,1.856,52,57,58,100,34,87,64,46,0
2014-04-13 07:00:00,国控,天津,,190,中度污染,四级,143,99,183,152,1.627,1.574,81,80,7,88,13,73,30,41,0
2014-04-13 07:00:00,国控,天津,市监测中心,213,重度污染,,163,102,200,164,1.677,1.708,82,83,1,79,10,63,46,51,0
2014-04-13 07:00:00,国控,天津,机车车辆厂,183,中度污染,,138,100,188,165,1.806,1.358,84,84,2,98,20,77,32,44,0
2014-04-13 07:00:00,国控,天津,继电器厂,204,重度污染,,154,103,164,150,1.428,1.147,83,91,9,103,18,84,52,52,0
2014-04-13 07:00:00,国控,天津,南京路,186,中度污染,,140,89,175,173,1.971,2.046,78,81,9,82,22,69,81,55,0
2014-04-13 07:00:00,国控,天津,河东站,214,重度污染,,164,119,199,162,1.539,1.449,81,79,3,76,15,67,28,49,0
2014-04-13 07:00:00,国控,天津,河西站,201,重度污染,,151,92,182,160,1.002,1.236,84,90,8,55,17,50,41,53,0
2014-04-13 07:00:00,国控,天津,北辰科技园区,201,重度污染,,151,98,0,174,2.273,1.927,121,104,8,69,9,50,29,47,0
2014-04-13 07:00:00,国控,天津,天山路,249,重度污染,,199,107,0,164,1.693,1.368,60,81,2,84,5,69,36,53,0
2014-04-13 07:00:00,国控,天津,东丽中学,192,中度污染,,144,106,247,175,2.162,2.088,107,101,5,89,9,76,26,46,0
2014-04-13 07:00:00,国控,天津,梅江小区,216,重度污染,,166,119,265,188,1.636,1.755,95,92,4,69,15,58,25,44,0
