时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2015-03-01 00:00:00,国控,上海,,30,优,一级,21,15,20,19,0.534,0.576,19,30,68,86,57,70,8,9,0
2015-03-01 00:00:00,国控,上海,普陀,40,优,,28,19,0,22,0.519,0.516,18,33,60,69,55,58,6,7,0
2015-03-01 00:00:00,国控,上海,十五厂,26,优,,18,14,0,17,0.686,0.822,22,37,68,77,49,69,11,11,0
2015-03-01 00:00:00,国控,上海,虹口,22,优,,14,11,22,20,0.562,0.624,22,37,67,74,50,66,9,10,0
2015-03-01 00:00:00,国控,上海,徐汇上师大,42,优,,29,15,0,15,0.468,0.515,21,36,60,68,53,60,10,10,0
2015-03-01 00:00:00,国控,上海,杨浦四漂,24,优,,16,17,20,21,0.269,0.249,22,28,76,86,66,80,7,7,0
2015-03-01 00:00:00,国控,上海,青浦淀山湖,60,良,,43,24,0,30,0.653,0.76,13,27,50,153,44,61,12,12,0
2015-03-01 00:00:00,国控,上海,静安监测站,32,优,,22,13,22,17,0.797,0.841,27,36,74,90,66,81,13,12,0
2015-03-01 00:00:00,国控,上海,浦东川沙,25,优,,14,12,0,16,0.204,0.234,10,16,77,83,61,78,7,7,0
2015-03-01 00:00:00,国控,上海,浦东新区监测站,26,优,,18,15,19,21,0.744,0.78,17,33,79,81,62,75,3,4,0
2015-03-01 00:00:00,国控,上海,浦东张江,25,优,,17,14,17,20,0.439,0.422,18,26,78,83,66,78,10,10,0
2015-03-01 01:00:00,国控,上海,,35,优,一级,24,15,21,19,0.538,0.577,17,30,65,86,58,70,8,9,0
2015-03-01 01:00:00,国控,上海,普陀,53,良,,37,19,0,22,0.547,0.516,18,33,56,69,55,58,8,7,0
2015-03-01 01:00:00,国控,上海,十五厂,25,优,,17,14,0,17,0.682,0.823,19,37,68,77,51,69,11,11,0
2015-03-01 01:00:00,国控,上海,虹口,32,优,,22,12,23,20,0.551,0.624,16,36,69,74,52,66,9,10,0
2015-03-01 01:00:00,国控,上海,徐汇上师大,39,优,,27,16,0,14,0.507,0.519,23,36,56,68,54,60,13,10,0
2015-03-01 01:00:00,国控,上海,杨浦四漂,33,优,,23,17,23,21,0.182,0.247,15,28,65,86,65,80,5,7,0
2015-03-01 01:00:00,国控,上海,青浦淀山湖,53,良,,37,25,0,30,0.678,0.752,14,26,48,153,43,61,12,12,0
2015-03-01 01:00:00,国控,上海,静安监测站,40,优,,28,14,0,17,0.787,0.841,23,36,74,90,68,81,12,12,0
2015-03-01 01:00:00,国控,上海,浦东川沙,23,优,,9,12,15,16,0.264,0.235,12,16,71,83,63,78,6,7,0
2015-03-01 01:00:00,国控,上海,浦东新区监测站,32,优,,22,15,23,20,0.761,0.783,15,33,76,81,63,75,3,4,0
