时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-08-01 00:00:00,国控,天津,,81,良,二级,59,84,84,106,1.294,1.616,29,33,53,147,77,123,7,20,81
2014-08-01 00:00:00,国控,天津,市监测中心,0,,,0,77,0,117,0.0,1.655,0,38,0,202,119,175,0,24,0
2014-08-01 00:00:00,国控,天津,机车车辆厂,0,,,0,98,0,118,0.0,1.9,0,48,0,174,93,149,0,24,0
2014-08-01 00:00:00,国控,天津,继电器厂,80,良,,59,90,94,128,1.001,1.752,41,37,42,133,67,113,7,20,80
2014-08-01 00:00:00,国控,天津,南京路,73,良,,50,87,96,118,0.996,1.582,24,30,63,170,84,146,6,21,73
2014-08-01 00:00:00,国控,天津,河东站,70,良,,51,79,58,101,1.723,1.987,14,27,49,126,62,103,2,33,70
2014-08-01 00:00:00,国控,天津,河西站,79,良,,58,92,94,112,0.696,1.233,43,35,32,148,70,121,8,29,79
2014-08-01 00:00:00,国控,天津,北辰科技园区,0,,,0,102,0,145,0.0,2.116,0,59,0,158,69,134,0,24,0
2014-08-01 00:00:00,国控,天津,天山路,93,良,,69,101,88,113,3.131,1.826,17,21,55,151,80,129,21,24,93
2014-08-01 00:00:00,国控,天津,东丽中学,77,良,,56,87,0,104,1.357,1.71,27,39,57,135,71,113,3,19,77
2014-08-01 00:00:00,国控,天津,梅江小区,99,良,,74,84,105,111,1.204,1.574,30,36,59,162,88,130,4,19,99
2014-08-01 00:00:00,国控,天津,泰丰工业园,84,良,,62,72,80,83,0.906,1.254,51,40,40,93,42,72,4,4,84
2014-08-01 00:00:00,国控,天津,永明路,57,良,,40,62,0,71,0.731,0.985,2,11,98,126,96,108,6,12,57
2014-08-01 00:00:00,国控,天津,空港物流加工区,97,良,,72,85,79,91,0.948,1.373,53,38,25,136,54,112,20,27,97
2014-08-01 00:00:00,国控,天津,中新生态城,0,,,0,76,0,87,0.0,1.453,0,19,0,134,87,111,0,17,0
2014-08-01 00:00:00,国控,天津,团泊洼,82,良,,60,77,63,101,1.538,1.846,20,22,69,165,87,137,4,17,82
2014-08-01 01:00:00,国控,天津,,80,良,二级,58,82,72,104,1.462,1.611,32,33,52,147,69,123,9,20,80
2014-08-01 01:00:00,国控,天津,市监测中心,0,,,0,77,0,117,0.0,1.655,0,38,0,202,109,175,0,24,0
2014-08-01 01:00:00,国控,天津,机车车辆厂,83,良,,61,96,61,115,2.979,1.936,32,47,66,174,82,149,14,22,83
2014-08-01 01:00:00,国控,天津,继电器厂,75,良,,55,87,62,125,1.335,1.713,26,37,53,133,60,113,5,18,75
2014-08-01 01:00:00,国控,天津,南京路,77,良,,56,84,74,116,1.191,1.549,25,30,60,170,74,146,6,20,77
2014-08-01 01:00:00,国控,天津,河东站,67,良,,48,76,59,99,1.845,1.975,14,26,46,126,55,103,5,31,67
2014-08-01 01:00:00,国控,天津,河西站,74,良,,54,89,90,110,0.846,1.207,45,35,28,148,58,121,9,27,74
2014-08-01 01:00:00,国控,天津,北辰科技园区,85,良,,63,100,97,143,3.504,2.171,90,59,29,158,55,134,20,24,85
2014-08-01 01:00:00,国控,天津,天山路,107,轻度污染,,80,99,80,110,1.657,1.825,18,20,48,151,69,129,16,23,107
2014-08-01 01:00:00,国控,天津,东丽中学,78,良,,57,84,75,106,1.126,1.707,29,39,48,135,63,113,3,18,78
2014-08-01 01:00:00,国控,天津,梅江小区,93,良,,69,82,98,110,1.144,1.548,26,35,63,162,79,130,4,18,93
2014-08-01 01:00:00,国控,天津,泰丰工业园,67,良,,48,71,0,81,0.919,1.249,48,40,44,93,40,72,4,4,67
2014-08-01 01:00:00,国控,天津,永明路,49,优,,34,60,39,71,0.829,0.984,10,12,86,126,95,108,6,12,49
2014-08-01 01:00:00,国控,天津,空港物流加工区,114,轻度污染,,86,84,0,89,0.873,1.36,52,39,26,136,44,112,33,27,114
2014-08-01 01:00:00,国控,天津,中新生态城,73,良,,53,75,0,83,0.712,1.444,24,20,67,134,84,111,10,17,73
2014-08-01 01:00:00,国控,天津,团泊洼,78,良,,57,76,59,99,1.508,1.841,22,22,68,165,79,137,4,17,78
2014-08-01 02:00:00,国控,天津,,78,良,二级,57,81,79,103,1.287,1.601,34,33,47,147,62,123,10,19,79
2014-08-01 02:00:00,国控,天津,市监测中心,73,良,,53,75,74,114,0.805,1.602,48,39,65,202,97,175,8,23,73
2014-08-01 02:00:00,国控,天津,机车车辆厂,80,良,,59,93,69,111,2.225,1.934,41,46,43,174,70,149,14,21,80
2014-08-01 02:00:00,国控,天津,继电器厂,72,良,,52,86,72,122,1.688,1.711,20,37,53,133,54,113,5,18,72
2014-08-01 02:00:00,国控,天津,南京路,75,良,,55,82,69,114,1.292,1.528,19,30,63,170,67,146,6,19,75
2014-08-01 02:00:00,国控,天津,河东站,59,良,,42,74,60,97,1.998,1.969,20,26,37,126,50,103,4,30,59
2014-08-01 02:00:00,国控,天津,河西站,67,良,,48,86,79,109,0.936,1.196,32,35,32,148,50,121,9,26,67
2014-08-01 02:00:00,国控,天津,北辰科技园区,109,轻度污染,,77,98,167,143,1.88,2.161,94,59,24,158,41,134,25,23,109
2014-08-01 02:00:00,国控,天津,天山路,105,轻度污染,,79,97,108,110,1.292,1.829,20,20,29,151,61,129,29,24,105
2014-08-01 02:00:00,国控,天津,东丽中学,87,良,,64,83,71,104,1.274,1.705,35,38,46,135,59,113,3,17,87
2014-08-01 02:00:00,国控,天津,梅江小区,77,良,,56,80,82,109,1.191,1.531,28,35,52,162,72,130,4,18,77
2014-08-01 02:00:00,国控,天津,泰丰工业园,65,良,,47,70,47,81,0.889,1.243,48,38,39,93,38,72,4,4,65
2014-08-01 02:00:00,国控,天津,永明路,63,良,,45,60,0,70,0.787,0.979,6,11,82,126,94,108,5,12,63
2014-08-01 02:00:00,国控,天津,空港物流加工区,113,轻度污染,,85,84,0,89,0.844,1.355,71,41,9,136,36,112,27,28,113
2014-08-01 02:00:00,国控,天津,中新生态城,73,良,,53,74,0,83,0.694,1.437,16,20,72,134,81,111,9,17,73
2014-08-01 02:00:00,国控,天津,团泊洼,72,良,,52,75,52,97,1.503,1.838,22,22,63,165,73,137,3,17,72
2014-08-01 03:00:00,国控,天津,,77,良,二级,56,79,81,102,1.387,1.602,36,33,41,147,57,123,11,19,77
2014-08-01 03:00:00,国控,天津,市监测中心,70,良,,51,74,84,113,0.913,1.561,58,40,47,202,88,175,9,22,70
2014-08-01 03:00:00,国控,天津,机车车辆厂,80,良,,59,90,88,109,2.45,1.957,52,46,26,174,60,149,27,20,80
2014-08-01 03:00:00,国控,天津,继电器厂,73,良,,53,85,80,122,1.851,1.719,26,38,39,133,49,113,5,17,73
2014-08-01 03:00:00,国控,天津,南京路,65,良,,47,80,65,112,1.887,1.545,20,29,60,170,64,146,6,18,65
2014-08-01 03:00:00,国控,天津,河东站,62,良,,44,73,74,96,2.417,1.996,25,26,31,126,46,103,7,30,62
2014-08-01 03:00:00,国控,天津,河西站,67,良,,48,84,71,107,1.146,1.199,28,35,31,148,44,121,11,26,67
2014-08-01 03:00:00,国控,天津,北辰科技园区,118,轻度污染,,89,97,149,142,1.735,2.163,89,60,23,158,32,134,26,24,118
2014-08-01 03:00:00,国控,天津,天山路,124,轻度污染,,94,96,120,111,1.15,1.828,23,20,25,151,54,129,24,24,124
2014-08-01 03:00:00,国控,天津,东丽中学,78,良,,57,81,87,102,1.334,1.711,38,37,39,135,54,113,1,16,78
2014-08-01 03:00:00,国控,天津,梅江小区,77,良,,56,79,81,108,1.319,1.525,32,35,43,162,65,130,4,17,77
2014-08-01 03:00:00,国控,天津,泰丰工业园,68,良,,49,69,55,79,0.864,1.236,32,38,45,93,38,72,4,4,68
2014-08-01 03:00:00,国控,天津,永明路,52,良,,36,59,42,70,0.727,0.973,4,12,76,126,91,108,6,12,52
2014-08-01 03:00:00,国控,天津,空港物流加工区,95,良,,71,83,0,89,0.822,1.346,82,43,2,136,27,112,23,28,95
2014-08-01 03:00:00,国控,天津,中新生态城,65,良,,47,73,0,83,0.676,1.43,13,20,70,134,79,111,9,17,65
2014-08-01 03:00:00,国控,天津,团泊洼,72,良,,52,74,58,96,1.512,1.834,21,23,62,165,69,137,3,17,72
2014-08-01 04:00:00,国控,天津,,83,良,二级,61,78,88,101,1.381,1.601,36,33,38,147,52,123,10,19,83
2014-08-01 04:00:00,国控,天津,市监测中心,74,良,,54,73,80,111,0.96,1.528,58,41,46,202,74,175,10,21,74
2014-08-01 04:00:00,国控,天津,机车车辆厂,97,良,,72,89,101,109,1.988,1.963,49,45,27,174,52,149,23,21,97
2014-08-01 04:00:00,国控,天津,继电器厂,82,良,,60,83,96,120,2.175,1.731,35,37,30,133,44,113,6,17,82
2014-08-01 04:00:00,国控,天津,南京路,68,良,,49,78,76,110,1.652,1.553,18,29,56,170,62,146,6,18,68
2014-08-01 04:00:00,国控,天津,河东站,75,良,,55,71,77,94,2.139,2.019,20,25,33,126,43,103,4,29,75
2014-08-01 04:00:00,国控,天津,河西站,73,良,,53,82,83,106,0.894,1.189,31,35,24,148,39,121,10,25,73
2014-08-01 04:00:00,国控,天津,北辰科技园区,122,轻度污染,,92,96,153,142,2.081,2.185,93,60,22,158,28,134,24,24,122
2014-08-01 04:00:00,国控,天津,天山路,118,轻度污染,,89,95,104,110,1.36,1.831,22,20,26,151,49,129,27,24,118
2014-08-01 04:00:00,国控,天津,东丽中学,89,良,,66,79,85,100,1.491,1.724,38,36,35,135,51,113,1,15,89
2014-08-01 04:00:00,国控,天津,梅江小区,77,良,,56,77,94,107,1.244,1.506,26,33,48,162,60,130,3,17,77
2014-08-01 04:00:00,国控,天津,泰丰工业园,70,良,,51,68,0,77,0.878,1.228,48,39,36,93,39,72,4,4,70
2014-08-01 04:00:00,国控,天津,永明路,74,良,,54,58,61,69,0.747,0.961,10,11,62,126,87,108,9,12,74
2014-08-01 04:00:00,国控,天津,空港物流加工区,95,良,,71,83,72,90,0.834,1.341,61,44,14,136,22,112,21,29,95
2014-08-01 04:00:00,国控,天津,中新生态城,58,良,,41,72,0,83,0.667,1.416,12,19,69,134,76,111,9,17,58
2014-08-01 04:00:00,国控,天津,团泊洼,79,良,,58,73,64,94,1.606,1.833,22,23,56,165,66,137,3,16,79
2014-08-01 05:00:00,国控,天津,,83,良,二级,61,76,92,100,1.314,1.596,40,33,33,147,48,123,8,19,83
2014-08-01 05:00:00,国控,天津,市监测中心,73,良,,53,72,87,109,0.884,1.494,41,41,55,202,67,175,8,21,73
2014-08-01 05:00:00,国控,天津,机车车辆厂,99,良,,74,87,106,108,1.768,1.944,57,45,17,174,45,149,15,21,99
2014-08-01 05:00:00,国控,天津,继电器厂,80,良,,59,81,86,117,1.854,1.733,33,37,31,133,41,113,5,16,80
2014-08-01 05:00:00,国控,天津,南京路,72,良,,52,76,81,108,1.345,1.551,18,28,51,170,59,146,6,17,72
2014-08-01 05:00:00,国控,天津,河东站,75,良,,55,69,81,93,1.77,2.027,29,25,21,126,40,103,3,28,75
2014-08-01 05:00:00,国控,天津,河西站,77,良,,56,79,89,104,1.0,1.184,27,35,23,148,35,121,9,24,77
2014-08-01 05:00:00,国控,天津,北辰科技园区,123,轻度污染,,93,95,168,143,2.224,2.213,93,61,23,158,26,134,20,24,123
2014-08-01 05:00:00,国控,天津,天山路,127,轻度污染,,96,94,157,113,1.313,1.835,22,20,26,151,44,129,24,25,127
2014-08-01 05:00:00,国控,天津,东丽中学,90,良,,67,78,95,98,1.369,1.731,60,36,15,135,45,113,1,15,90
2014-08-01 05:00:00,国控,天津,梅江小区,72,良,,52,75,88,105,1.372,1.507,37,33,32,162,53,130,3,16,72
2014-08-01 05:00:00,国控,天津,泰丰工业园,55,良,,39,66,42,77,0.867,1.22,65,41,26,93,37,72,4,4,55
2014-08-01 05:00:00,国控,天津,永明路,63,良,,45,57,49,66,0.797,0.956,14,11,54,126,82,108,6,12,63
2014-08-01 05:00:00,国控,天津,空港物流加工区,99,良,,74,82,0,88,0.823,1.333,61,45,10,136,19,112,16,29,99
2014-08-01 05:00:00,国控,天津,中新生态城,57,良,,40,70,0,83,0.685,1.393,17,19,68,134,74,111,9,17,57
2014-08-01 05:00:00,国控,天津,团泊洼,84,良,,62,72,71,92,1.64,1.823,26,22,49,165,63,137,3,16,84
2014-08-01 06:00:00,国控,天津,,85,良,二级,62,75,96,99,1.202,1.586,43,33,29,147,44,123,9,18,0
2014-08-01 06:00:00,国控,天津,市监测中心,78,良,,57,71,80,108,0.979,1.468,30,40,61,202,63,175,8,20,0
2014-08-01 06:00:00,国控,天津,机车车辆厂,108,轻度污染,,81,85,108,106,1.313,1.936,83,45,0,174,35,149,24,21,0
2014-08-01 06:00:00,国控,天津,继电器厂,95,良,,71,80,120,116,1.75,1.739,53,37,15,133,38,113,5,15,0
2014-08-01 06:00:00,国控,天津,南京路,84,良,,62,74,95,107,1.483,1.555,33,28,29,170,55,146,6,16,0
2014-08-01 06:00:00,国控,天津,河东站,85,良,,63,67,115,93,1.649,2.031,47,25,8,126,35,103,7,28,0
2014-08-01 06:00:00,国控,天津,河西站,72,良,,52,76,93,103,1.124,1.186,40,35,10,148,29,121,13,23,0
2014-08-01 06:00:00,国控,天津,北辰科技园区,124,轻度污染,,94,95,165,144,1.162,2.191,77,61,23,158,26,134,11,24,0
2014-08-01 06:00:00,国控,天津,天山路,78,良,,0,94,105,112,1.184,1.824,21,21,13,151,37,129,25,25,0
2014-08-01 06:00:00,国控,天津,东丽中学,112,轻度污染,,84,77,123,98,1.076,1.724,66,36,10,135,39,113,1,14,0
2014-08-01 06:00:00,国控,天津,梅江小区,83,良,,61,73,95,103,1.535,1.516,46,33,23,162,46,130,3,16,0
2014-08-01 06:00:00,国控,天津,泰丰工业园,59,良,,42,65,47,75,0.865,1.202,47,41,29,93,37,72,4,4,0
2014-08-01 06:00:00,国控,天津,永明路,64,良,,46,56,0,63,0.903,0.954,15,10,62,126,77,108,6,12,0
2014-08-01 06:00:00,国控,天津,空港物流加工区,97,良,,72,82,0,87,0.753,1.313,52,46,11,136,17,112,12,29,0
2014-08-01 06:00:00,国控,天津,中新生态城,52,良,,36,68,50,85,0.74,1.356,18,19,68,134,71,111,9,17,0
2014-08-01 06:00:00,国控,天津,团泊洼,75,良,,55,71,59,88,1.516,1.798,22,22,51,165,61,137,3,15,0
2014-08-01 07:00:00,国控,天津,,96,良,二级,71,74,107,98,1.177,1.569,46,33,24,147,39,123,10,18,96
2014-08-01 07:00:00,国控,天津,市监测中心,82,良,,60,70,113,108,1.292,1.46,50,41,42,202,53,175,19,20,82
2014-08-01 07:00:00,国控,天津,机车车辆厂,124,轻度污染,,94,84,149,105,1.128,1.918,71,45,3,174,26,149,24,21,124
2014-08-01 07:00:00,国控,天津,继电器厂,108,轻度污染,,81,78,154,116,1.2,1.723,62,37,10,133,34,113,6,15,108
2014-08-01 07:00:00,国控,天津,南京路,109,轻度污染,,82,73,132,108,1.309,1.552,50,29,13,170,49,146,10,16,109
